Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"They Say It's Wonderful","John Coltrane","John Coltrane And Johnny Hartman","John Coltrane And Johnny Hartman","Playlist","USMC16352813","6x8XKDM8Rnid4TyOUg9kj3"
"Dedicated To You","John Coltrane","John Coltrane And Johnny Hartman","John Coltrane And Johnny Hartman","Playlist","USMC16352814","7981FAW8DbDs1ueK4Ha8R2"
"My One And Only Love","John Coltrane","John Coltrane And Johnny Hartman","John Coltrane And Johnny Hartman","Playlist","USMC16353721","0uPkCpuoERqrkBL06Art50"
"Lush Life","John Coltrane","John Coltrane And Johnny Hartman","John Coltrane And Johnny Hartman","Playlist","USMC16352661","0Srs2sPdZTfFvvfLP4DGa0"
"You Are Too Beautiful","John Coltrane","John Coltrane And Johnny Hartman","John Coltrane And Johnny Hartman","Playlist","USMC16352816","4bA0Y5vHsRx2RH59lGkryb"
"Autumn Serenade","John Coltrane","John Coltrane And Johnny Hartman","John Coltrane And Johnny Hartman","Playlist","USMC19955459","3lrcl8bNSUkHMjHEtP5yC1"
