Track name,Artist name,Album,Playlist name,Type,ISRC,Apple - id
"Armageddon","aespa","Armageddon - The 1st Album","KPOPWRLD","Playlist","KRA302400093","1745285228"
"See that?","NMIXX","Fe3O4: STICK OUT - EP","KPOPWRLD","Playlist","US5TA2400157","1763021213"
"XO (Only If You Say Yes)","ENHYPEN","ROMANCE : UNTOLD","KPOPWRLD","Playlist","USA2P2436970","1752178865"
"Supersonic","fromis_9","Supersonic - Single","KPOPWRLD","Playlist","USA2P2444226","1760411225"
"Klaxon","(G)I-DLE","I SWAY - EP","KPOPWRLD","Playlist","KRA392400011","1786521444"
"Sticky","KISS OF LIFE","Sticky - Single","KPOPWRLD","Playlist","KRA382403763","1753900853"
"Cheeky Icy Thang","STAYC","Metamorphic","KPOPWRLD","Playlist","KRA382403832","1752835382"
"FOREVER","BABYMONSTER","DRIP","KPOPWRLD","Playlist","KRA402400062","1778406619"
"If I’m S, Can You Be My N?","TWS","TWS 2nd Mini Album 'SUMMER BEAT!' - EP","KPOPWRLD","Playlist","USA2P2428746","1751362479"
"Cosmic","Red Velvet","Cosmic","KPOPWRLD","Playlist","KRA302400202","1759890981"
"Magnetic","ILLIT","SUPER REAL ME - EP","KPOPWRLD","Playlist","USA2P2413259","1734500896"
"Boom Boom Bass","RIIZE","RIIZING : Epilogue - The 1st Mini Album","KPOPWRLD","Playlist","KRA302400143","1762577703"
"SHEESH","BABYMONSTER","BABYMONS7ER","KPOPWRLD","Playlist","KRA402400016","1740179433"
"Midas Touch","KISS OF LIFE","Midas Touch - Single","KPOPWRLD","Playlist","KRA382401544","1737365431"
"Girls Never Die","tripleS","<ASSEMBLE24>","KPOPWRLD","Playlist","KRA382402695","1743890801"
"SPOT! (feat. JENNIE)","ZICO","SPOT! (feat. JENNIE) - Single","KPOPWRLD","Playlist","USA2P2421932","1742019076"
