Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Pretty Hurts","Beyoncé","BEYONCÉ [Platinum Edition]","BEYONCÉ [Platinum Edition]","Playlist","USSM11307798","7lUA4P03AhwAw40JHkdyGr"
"Haunted","Beyoncé","BEYONCÉ [Platinum Edition]","BEYONCÉ [Platinum Edition]","Playlist","USSM11307799","7cioKB5CHVzk09SOtTyn0T"
"Drunk in Love (feat. JAY-Z)","Beyoncé","BEYONCÉ [Platinum Edition]","BEYONCÉ [Platinum Edition]","Playlist","USSM11307800","6jG2YzhxptolDzLHTGLt7S"
"Blow","Beyoncé","BEYONCÉ [Platinum Edition]","BEYONCÉ [Platinum Edition]","Playlist","USSM11307801","6wwrYruEgWlowPDZMq5116"
"No Angel","Beyoncé","BEYONCÉ [Platinum Edition]","BEYONCÉ [Platinum Edition]","Playlist","USSM11307802","4DActPOAtak2m8meZeMt3B"
"Partition","Beyoncé","BEYONCÉ [Platinum Edition]","BEYONCÉ [Platinum Edition]","Playlist","USSM11307803","5hgnY0mVcVetszbb85qeDg"
"Jealous","Beyoncé","BEYONCÉ [Platinum Edition]","BEYONCÉ [Platinum Edition]","Playlist","USSM11307804","63wKtmUg754umO8SglEL79"
"Rocket","Beyoncé","BEYONCÉ [Platinum Edition]","BEYONCÉ [Platinum Edition]","Playlist","USSM11307805","0755vnFQZLSgHHWbR1qCjY"
"Mine (feat. Drake)","Beyoncé","BEYONCÉ [Platinum Edition]","BEYONCÉ [Platinum Edition]","Playlist","USSM11307806","63FrXif0Pdu4NAPvTh87mw"
"XO","Beyoncé","BEYONCÉ [Platinum Edition]","BEYONCÉ [Platinum Edition]","Playlist","USSM11307807","40xhyfAPDoMtv494MfPevP"
"***Flawless (feat. Chimamanda Ngozi Adichie)","Beyoncé","BEYONCÉ [Platinum Edition]","BEYONCÉ [Platinum Edition]","Playlist","USSM11307808","7tefUew2RUuSAqHyegMoY1"
"Superpower (feat. Frank Ocean)","Beyoncé","BEYONCÉ [Platinum Edition]","BEYONCÉ [Platinum Edition]","Playlist","USSM11307809","49sXkAcR5LvOrtq5Qcn5cf"
"Heaven","Beyoncé","BEYONCÉ [Platinum Edition]","BEYONCÉ [Platinum Edition]","Playlist","USSM11307810","0fYwfZcgijhIOyXn0RVPwq"
"Blue (feat. Blue Ivy)","Beyoncé","BEYONCÉ [Platinum Edition]","BEYONCÉ [Platinum Edition]","Playlist","USSM11307811","2LjkT4gu5wO4JdeEYl0fMY"
"7/11","Beyoncé","BEYONCÉ [Platinum Edition]","BEYONCÉ [Platinum Edition]","Playlist","USSM11408532","02M6vucOvmRfMxTXDUwRXu"
"Flawless Remix (feat. Nicki Minaj)","Beyoncé","BEYONCÉ [Platinum Edition]","BEYONCÉ [Platinum Edition]","Playlist","USSM11406084","0zVMzJ37VQNFUNvdxxat2E"
"Drunk in Love Remix (feat. JAY-Z & Kanye West)","Beyoncé","BEYONCÉ [Platinum Edition]","BEYONCÉ [Platinum Edition]","Playlist","USSM11408537","0FZmAvivvifvtN3pZScbw1"
"Ring Off","Beyoncé","BEYONCÉ [Platinum Edition]","BEYONCÉ [Platinum Edition]","Playlist","USSM11408533","2Z9Yid1RueNo2sHS9x4gdh"
"Blow Remix (feat. Pharrell Williams)","Beyoncé","BEYONCÉ [Platinum Edition]","BEYONCÉ [Platinum Edition]","Playlist","USSM11408534","0GjDYSp1bNyjggwPadwlyf"
"Standing on the Sun Remix (feat. Mr. Vegas)","Beyoncé","BEYONCÉ [Platinum Edition]","BEYONCÉ [Platinum Edition]","Playlist","USSM11301847","7jpSvCrFev9EBb5RSmoRTa"
