Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Don't Do Drugs Just Take Some Jack Ü","Jack Ü","Skrillex and Diplo present Jack Ü","Skrillex and Diplo present Jack Ü","Playlist","USAT21500548","0iSGRQ1RNaG76qiXH03jyC"
"Beats Knockin (feat. Fly Boi Keno)","Jack Ü","Skrillex and Diplo present Jack Ü","Skrillex and Diplo present Jack Ü","Playlist","USAT21500549","4gwF1NiLbZl2uKJDS3AX9O"
"Take Ü There (feat. Kiesza)","Jack Ü","Skrillex and Diplo present Jack Ü","Skrillex and Diplo present Jack Ü","Playlist","USAT21404296","2RpKh7kXSdO8NLrW9VQ46p"
"Febreze (feat. 2 Chainz)","Jack Ü","Skrillex and Diplo present Jack Ü","Skrillex and Diplo present Jack Ü","Playlist","USAT21500550","48bSfSZaq9Aizbu4AWn4st"
"To Ü (feat. AlunaGeorge)","Jack Ü","Skrillex and Diplo present Jack Ü","Skrillex and Diplo present Jack Ü","Playlist","USAT21500551","3UgSQu6WwrXfKKDq019IHE"
"Jungle Bae (feat. Bunji Garlin & MX Prime)","Jack Ü","Skrillex and Diplo present Jack Ü","Skrillex and Diplo present Jack Ü","Playlist","USAT21500552","7yJzk64ul9PFgVFUYbEzZL"
"Mind (feat. Kai)","Jack Ü","Skrillex and Diplo present Jack Ü","Skrillex and Diplo present Jack Ü","Playlist","USAT21500553","6ZpR2XFuQJSHAQwg9495KZ"
"Holla Out (feat. Snails & Taranchyla)","Jack Ü","Skrillex and Diplo present Jack Ü","Skrillex and Diplo present Jack Ü","Playlist","USAT21500554","3LDKrOek8eqZA52IeauhrW"
"Where Are Ü Now (with Justin Bieber)","Jack Ü","Skrillex and Diplo present Jack Ü","Skrillex and Diplo present Jack Ü","Playlist","USAT21500555","66hayvUbTotekKU3H4ta1f"
"Take Ü There (feat. Kiesza) - Missy Elliott Remix","Jack Ü","Skrillex and Diplo present Jack Ü","Skrillex and Diplo present Jack Ü","Playlist","USAT21500506","4JJTel4WTX7VeyN3fe5CbS"
