Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Blowin' in the Wind","Bob Dylan","The Freewheelin' Bob Dylan","The Freewheelin' Bob Dylan","Playlist","USSM19900534","18GiV1BaXzPVYpp9rmOg0E"
"Girl from the North Country","Bob Dylan","The Freewheelin' Bob Dylan","The Freewheelin' Bob Dylan","Playlist","USSM19922898","739sLmfUkVFoyPtb0C3263"
"Masters of War","Bob Dylan","The Freewheelin' Bob Dylan","The Freewheelin' Bob Dylan","Playlist","USSM16300212","7xVpkVkd1klTzLJEysIR7z"
"Down the Highway","Bob Dylan","The Freewheelin' Bob Dylan","The Freewheelin' Bob Dylan","Playlist","USSM19922900","7fzLfsWsXVvStzsk9yRfbG"
"Bob Dylan's Blues","Bob Dylan","The Freewheelin' Bob Dylan","The Freewheelin' Bob Dylan","Playlist","USSM19922901","1xa66kvw6zwboiW7c8W9t8"
"A Hard Rain's A-Gonna Fall","Bob Dylan","The Freewheelin' Bob Dylan","The Freewheelin' Bob Dylan","Playlist","USSM16201242","7ny2ATvjtKszCpLpfsGnVQ"
"Don't Think Twice, It's All Right","Bob Dylan","The Freewheelin' Bob Dylan","The Freewheelin' Bob Dylan","Playlist","USSM19922903","2WOjLF83vqjit2Zh4B69V3"
"Bob Dylan's Dream","Bob Dylan","The Freewheelin' Bob Dylan","The Freewheelin' Bob Dylan","Playlist","USSM19922904","4MNxOR2Fu4NqJ892UdYx0h"
"Oxford Town","Bob Dylan","The Freewheelin' Bob Dylan","The Freewheelin' Bob Dylan","Playlist","USSM19922905","7Ay1lHxhuM33NoXKsS0iom"
"Talkin' World War III Blues","Bob Dylan","The Freewheelin' Bob Dylan","The Freewheelin' Bob Dylan","Playlist","USSM19922906","0ePDsEDDIPZNpbwRUEXKoX"
"Corrina, Corrina","Bob Dylan","The Freewheelin' Bob Dylan","The Freewheelin' Bob Dylan","Playlist","USSM19922907","1L4RtuEiAiwdX5taX4meLI"
"Honey, Just Allow Me One More Chance","Bob Dylan","The Freewheelin' Bob Dylan","The Freewheelin' Bob Dylan","Playlist","USSM19929601","71XTdtW3bvmIrotG8yYVMS"
"I Shall Be Free","Bob Dylan","The Freewheelin' Bob Dylan","The Freewheelin' Bob Dylan","Playlist","USSM19922908","0D7qLnnev1iKpH5RNT7YsD"
