Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"I Forgot That You Existed","Taylor Swift","Lover","Lover","Playlist","USUG11901471","43rA71bccXFGD4C8GOpIlN"
"Cruel Summer","Taylor Swift","Lover","Lover","Playlist","USUG11901472","1BxfuPKGuaTgP7aM0Bbdwr"
"Lover","Taylor Swift","Lover","Lover","Playlist","USUG11901473","1dGr1c8CrMLDpV6mPbImSI"
"The Man","Taylor Swift","Lover","Lover","Playlist","USUG11901474","3RauEVgRgj1IuWdJ9fDs70"
"The Archer","Taylor Swift","Lover","Lover","Playlist","USUG11901475","3pHkh7d0lzM2AldUtz2x37"
"I Think He Knows","Taylor Swift","Lover","Lover","Playlist","USUG11901476","2YWtcWi3a83pdEg3Gif4Pd"
"Miss Americana & The Heartbreak Prince","Taylor Swift","Lover","Lover","Playlist","USUG11901477","214nt20w5wOxJnY462klLw"
"Paper Rings","Taylor Swift","Lover","Lover","Playlist","USUG11901478","4y5bvROuBDPr5fuwXbIBZR"
"Cornelia Street","Taylor Swift","Lover","Lover","Playlist","USUG11901479","12M5uqx0ZuwkpLp5rJim1a"
"Death By A Thousand Cuts","Taylor Swift","Lover","Lover","Playlist","USUG11901480","2dgFqt3w9xIQRjhPtwNk3D"
"London Boy","Taylor Swift","Lover","Lover","Playlist","USUG11901481","1LLXZFeAHK9R4xUramtUKw"
"Soon You’ll Get Better (feat. The Chicks)","Taylor Swift","Lover","Lover","Playlist","USUG11901482","4AYtqFyFbX0Xkc2wtcygTr"
"False God","Taylor Swift","Lover","Lover","Playlist","USUG11901483","5hQSXkFgbxjZo9uCwd11so"
"You Need To Calm Down","Taylor Swift","Lover","Lover","Playlist","USUG11901470","6RRNNciQGZEXnqk8SQ9yv5"
"Afterglow","Taylor Swift","Lover","Lover","Playlist","USUG11901484","1SymEzIT3H8UZfibCs3TYi"
"ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift","Lover","Lover","Playlist","USUG11901494","2Rk4JlNc2TPmZe2af99d45"
"It’s Nice To Have A Friend","Taylor Swift","Lover","Lover","Playlist","USUG11901485","1SmiQ65iSAbPto6gPFlBYm"
"Daylight","Taylor Swift","Lover","Lover","Playlist","USUG11901486","1fzAuUVbzlhZ1lJAx9PtY6"
