Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Airbag","Radiohead","OK Computer","OK Computer","Playlist","GBAYE9701274","7c378mlmubSu7NGkLFa4sN"
"Paranoid Android","Radiohead","OK Computer","OK Computer","Playlist","GBAYE9701376","6LgJvl0Xdtc73RJ1mmpotq"
"Subterranean Homesick Alien","Radiohead","OK Computer","OK Computer","Playlist","GBAYE9701377","2CVV8PtUYYsux8XOzWkCP0"
"Exit Music (For A Film)","Radiohead","OK Computer","OK Computer","Playlist","GBAYE9701372","0z1o5L7HJx562xZSATcIpY"
"Let Down","Radiohead","OK Computer","OK Computer","Playlist","GBAYE9701374","2fuYa3Lx06QQJAm0MjztKr"
"Karma Police","Radiohead","OK Computer","OK Computer","Playlist","GBAYE9701368","63OQupATfueTdZMWTxW03A"
"Fitter Happier","Radiohead","OK Computer","OK Computer","Playlist","GBAYE9701373","6wnmRxEbwUK7WLyUtiRuT7"
"Electioneering","Radiohead","OK Computer","OK Computer","Playlist","GBAYE9701371","0gTRROuntlrPQ64W3J2Etv"
"Climbing Up the Walls","Radiohead","OK Computer","OK Computer","Playlist","GBAYE9701370","2PDQReEXBViVwkrbQ34vd7"
"No Surprises","Radiohead","OK Computer","OK Computer","Playlist","GBAYE9700386","10nyNJ6zNy2YVYLrcwLccB"
"Lucky","Radiohead","OK Computer","OK Computer","Playlist","GBAYE9701375","14xj58ZexBaEaHARb11Cqs"
"The Tourist","Radiohead","OK Computer","OK Computer","Playlist","GBAYE9701378","1UuaWKypSkIHxFZD03zw4m"
