Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Everything In Its Right Place","Radiohead","Kid A","Kid A","Playlist","GBAYE0000810","2kRFrWaLWiKq48YYVdGcm8"
"Kid A","Radiohead","Kid A","Kid A","Playlist","GBAYE0000811","3QDahKSqLwYJYQRbILdzS6"
"The National Anthem","Radiohead","Kid A","Kid A","Playlist","GBAYE0000812","4Wgj6jzoI2gYlumXdYAB8U"
"How to Disappear Completely","Radiohead","Kid A","Kid A","Playlist","GBAYE0000813","2rtGaCAeYtmcIvuZsvgTf6"
"Treefingers","Radiohead","Kid A","Kid A","Playlist","GBAYE0000814","4LrfsgQ5AGouvH3PlxW2PC"
"Optimistic","Radiohead","Kid A","Kid A","Playlist","GBAYE0001033","1FoUsSi9BCTlNt2Vd7V8XA"
"In Limbo","Radiohead","Kid A","Kid A","Playlist","GBAYE0000816","0xivCtzVVrdeq32s8EnOO6"
"Idioteque","Radiohead","Kid A","Kid A","Playlist","GBAYE0000817","1W5XugQJGhnSATMI5n002M"
"Morning Bell","Radiohead","Kid A","Kid A","Playlist","GBAYE0000818","4h37RgtBg9iynN3BIL5lFU"
"Motion Picture Soundtrack","Radiohead","Kid A","Kid A","Playlist","GBAYE0800814","4SrRrB27n7fiRkQcPoKfpk"
"Untitled","Radiohead","Kid A","Kid A","Playlist","GBAYE0800815","4aeCuOowYXJXrMZsVHZbfF"
