Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Curtains Up - Skit","Eminem","The Eminem Show","The Eminem Show","Playlist","USIR10211051","0ttF21hZCPw2merE3GsHcP"
"White America","Eminem","The Eminem Show","The Eminem Show","Playlist","USIR10211052","15qrWkkYCfmtu1uRpGf48L"
"Business","Eminem","The Eminem Show","The Eminem Show","Playlist","USIR10211053","0x60P5taxdI5pcGbqbap6S"
"Cleanin' Out My Closet","Eminem","The Eminem Show","The Eminem Show","Playlist","USIR10211054","7BMO7O7ImjV8HNTH74Tshv"
"Square Dance","Eminem","The Eminem Show","The Eminem Show","Playlist","USIR10211055","27mgDrExPa3obPAYXd3yQg"
"The Kiss - Skit","Eminem","The Eminem Show","The Eminem Show","Playlist","USIR10211056","2J3CYFUn6eAuHz5S9IKape"
"Soldier","Eminem","The Eminem Show","The Eminem Show","Playlist","USIR10211057","5QD28FqaM3jTfsqWwvRZwv"
"Say Goodbye Hollywood","Eminem","The Eminem Show","The Eminem Show","Playlist","USIR10211071","288e3FhmVuCqPmNEfAH0h6"
"Drips","Eminem","The Eminem Show","The Eminem Show","Playlist","USIR10211059","7io19rjxOFu3pGuZgBI6Pk"
"Without Me","Eminem","The Eminem Show","The Eminem Show","Playlist","USIR10211038","7lQ8MOhq6IN2w8EYcFNSUk"
"Paul Rosenberg - Skit","Eminem","The Eminem Show","The Eminem Show","Playlist","USIR10211060","0EgkVzDidmq4MP57jZFeik"
"Sing For The Moment","Eminem","The Eminem Show","The Eminem Show","Playlist","USIR10211061","3CpoeW0cZSDzIRv5z34F87"
"Superman","Eminem","The Eminem Show","The Eminem Show","Playlist","USIR10211062","4woTEX1wYOTGDqNXuavlRC"
"Hailie's Song","Eminem","The Eminem Show","The Eminem Show","Playlist","USIR10211063","6Db8IlZ7YY1pfIjJllejyH"
"Steve Berman - Skit","Eminem","The Eminem Show","The Eminem Show","Playlist","USIR10211064","5ZxX55HFfi4aofGTxMp58x"
"When The Music Stops","Eminem","The Eminem Show","The Eminem Show","Playlist","USIR10211065","73qINA7ccO03wxD8nsJalr"
"Say What You Say","Eminem","The Eminem Show","The Eminem Show","Playlist","USIR10211045","4EQkcrSLF3QdlwNca7sMXY"
"Till I Collapse","Eminem","The Eminem Show","The Eminem Show","Playlist","USIR10211066","4xkOaSrkexMciUUogZKVTS"
"My Dad's Gone Crazy","Eminem","The Eminem Show","The Eminem Show","Playlist","USIR10211067","3F14hbIqy1JKKLTb1mzdYV"
"Curtains Close","Eminem","The Eminem Show","The Eminem Show","Playlist","USIR10211070","51LeDAMy6nWqKdjVo7jK4j"
