Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Invaders (2015 Remaster)","Iron Maiden","The Number of the Beast (2015 Remaster)","The Number of the Beast (2015 Remaster)","Playlist","GBCHB1800020","4pH1WJLQuj2IJvJDwvDMvq"
"Children of the Damned (2015 Remaster)","Iron Maiden","The Number of the Beast (2015 Remaster)","The Number of the Beast (2015 Remaster)","Playlist","GBCHB1800021","1tHP7SreIHYxoQCuc11FJ5"
"The Prisoner (2015 Remaster)","Iron Maiden","The Number of the Beast (2015 Remaster)","The Number of the Beast (2015 Remaster)","Playlist","GBCHB1800022","2Sx328mOktfF8vs6angSiH"
"22 Acacia Avenue (2015 Remaster)","Iron Maiden","The Number of the Beast (2015 Remaster)","The Number of the Beast (2015 Remaster)","Playlist","GBCHB1800023","2sXLCjLXvjHbeANn0zgpcN"
"The Number of the Beast (2015 Remaster)","Iron Maiden","The Number of the Beast (2015 Remaster)","The Number of the Beast (2015 Remaster)","Playlist","GBCHB1800024","0EG9tDhr5rd931Ebj213nO"
"Run to the Hills (2015 Remaster)","Iron Maiden","The Number of the Beast (2015 Remaster)","The Number of the Beast (2015 Remaster)","Playlist","GBCHB1800025","5b1jZ9geGD4boxz24XgGPp"
"Gangland (2015 Remaster)","Iron Maiden","The Number of the Beast (2015 Remaster)","The Number of the Beast (2015 Remaster)","Playlist","GBCHB1800026","7BBVFGXIUVRhe6dWPy6iUw"
"Hallowed Be Thy Name (2015 Remaster)","Iron Maiden","The Number of the Beast (2015 Remaster)","The Number of the Beast (2015 Remaster)","Playlist","GBCHB1800027","2fWk525FzoJKsVD0kF1j9d"
