Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Intro","USHER","Confessions (Expanded Edition)","Confessions (Expanded Edition)","Playlist","USAR10400205","1tV1G9juUCSNEDdVhCaWKh"
"Yeah! (feat. Lil Jon & Ludacris)","USHER","Confessions (Expanded Edition)","Confessions (Expanded Edition)","Playlist","USAR10301423","5rb9QrpfcKFHM1EUbSIurX"
"Throwback (feat. Jadakiss)","USHER","Confessions (Expanded Edition)","Confessions (Expanded Edition)","Playlist","USAR10400984","1bPbiotvwSAYHG3ycVC2CV"
"Confessions","USHER","Confessions (Expanded Edition)","Confessions (Expanded Edition)","Playlist","USAR10400222","4719foL6R25RSHSJ1shNaj"
"Confessions Part II","USHER","Confessions (Expanded Edition)","Confessions (Expanded Edition)","Playlist","USAR10400973","7wBThXx7BGZHJJ3aN3OPvv"
"Burn","USHER","Confessions (Expanded Edition)","Confessions (Expanded Edition)","Playlist","USAR10400974","7z3N2W7Xz1t2G2sAO8wFVH"
"Caught Up","USHER","Confessions (Expanded Edition)","Confessions (Expanded Edition)","Playlist","USAR10400975","5zdUc1JRCImBYcDWgvFNpE"
"Superstar - Interlude","USHER","Confessions (Expanded Edition)","Confessions (Expanded Edition)","Playlist","USAR10400210","22IVvpKhaLiYGzu3FdqBwB"
"Superstar","USHER","Confessions (Expanded Edition)","Confessions (Expanded Edition)","Playlist","USAR10400976","18JosZY3HzD3lMy6iOOSAY"
"Truth Hurts","USHER","Confessions (Expanded Edition)","Confessions (Expanded Edition)","Playlist","USAR10400977","0HyCm2IYlKEhImmdP9lgG7"
"Simple Things","USHER","Confessions (Expanded Edition)","Confessions (Expanded Edition)","Playlist","USAR10400978","4rO5VOxTbRSRuuwCQ5D1Bl"
"Bad Girl","USHER","Confessions (Expanded Edition)","Confessions (Expanded Edition)","Playlist","USAR10400214","5rPzPAaOUceS8HiAculegz"
"That's What It's Made For","USHER","Confessions (Expanded Edition)","Confessions (Expanded Edition)","Playlist","USAR10400221","0D3HhtkWfHXuyU3sVm89hF"
"Can U Handle It?","USHER","Confessions (Expanded Edition)","Confessions (Expanded Edition)","Playlist","USAR10400979","6gRGMnzrsAY5Fl2byZf2jd"
"Do It To Me","USHER","Confessions (Expanded Edition)","Confessions (Expanded Edition)","Playlist","USAR10400980","6gfxE8DH93iLsNDoloANDG"
"Take Your Hand","USHER","Confessions (Expanded Edition)","Confessions (Expanded Edition)","Playlist","USAR10400981","5ivOsplYSO0erChGQcnANS"
"Follow Me","USHER","Confessions (Expanded Edition)","Confessions (Expanded Edition)","Playlist","USAR10400982","1CTVk3GInRIYtWjC0BFPEv"
"My Boo","USHER","Confessions (Expanded Edition)","Confessions (Expanded Edition)","Playlist","USAR10400887","68vgtRHr7iZHpzGpon6Jlo"
"Red Light","USHER","Confessions (Expanded Edition)","Confessions (Expanded Edition)","Playlist","USAR10400140","7Jaey6t7JjD3R1lmJABBa4"
"Seduction","USHER","Confessions (Expanded Edition)","Confessions (Expanded Edition)","Playlist","USAR10400216","2qVqxcTXGugY41u8Sr8xfp"
"Confessions Part II Remix (feat. Shyne, Twista & Kanye West)","USHER","Confessions (Expanded Edition)","Confessions (Expanded Edition)","Playlist","USAR10400843","6xcz5MXwY36hItZg5PZj78"
