Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"wacced out murals","Kendrick Lamar","GNX","GNX","Playlist","USUG12408495","5gOfC9UzZQzTyShqPMrpjT"
"squabble up","Kendrick Lamar","GNX","GNX","Playlist","USUG12408494","0nj9Bq5sHDiTxSHunhgkFb"
"luther (with sza)","Kendrick Lamar","GNX","GNX","Playlist","USUG12408496","45J4avUb9Ni0bnETYaYFVJ"
"man at the garden","Kendrick Lamar","GNX","GNX","Playlist","USUG12408498","5ho7VSXSmI2KM2nDjcnLyz"
"hey now (feat. dody6)","Kendrick Lamar","GNX","GNX","Playlist","USUG12408497","5S8VwnB4sLi6W0lYTWYylu"
"reincarnated","Kendrick Lamar","GNX","GNX","Playlist","USUG12408500","0RgjEkSbeuStKfT2Pa4Zai"
"tv off (feat. lefty gunplay)","Kendrick Lamar","GNX","GNX","Playlist","USUG12408493","0aB0v4027ukVziUGwVGYpG"
"dodger blue (feat. wallie the sensei, siete7x, roddy ricch)","Kendrick Lamar","GNX","GNX","Playlist","USUG12408499","4K1Pg0FLno1ltzX3jeqT83"
"peekaboo (feat. azchike)","Kendrick Lamar","GNX","GNX","Playlist","USUG12408501","2Uts1QFB4u2YNIMiqcb4de"
"heart pt. 6","Kendrick Lamar","GNX","GNX","Playlist","USUG12408502","1SGvjfc85yzqKXsfKcCxn2"
"gnx (feat. hitta j3, youngthreat, peysoh)","Kendrick Lamar","GNX","GNX","Playlist","USUG12408505","3aZptNYC6Z1YoumeqZcDcQ"
"gloria (with sza)","Kendrick Lamar","GNX","GNX","Playlist","USUG12408504","0wgOhYnqZKjOHr6bmdz0aN"
