Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"One More Time","Daft Punk","Discovery","Discovery","Playlist","GBDUW0000053","0DiWol3AO6WpXZgp0goxAV"
"Aerodynamic","Daft Punk","Discovery","Discovery","Playlist","GBDUW0000057","3H3cOQ6LBLSvmcaV7QkZEu"
"Digital Love","Daft Punk","Discovery","Discovery","Playlist","GBDUW0000058","2VEZx7NWsZ1D0eJ4uv5Fym"
"Harder, Better, Faster, Stronger","Daft Punk","Discovery","Discovery","Playlist","GBDUW0000059","5W3cjX2J3tjhG8zb6u0qHn"
"Crescendolls","Daft Punk","Discovery","Discovery","Playlist","GBDUW0000060","6vuPZX9fWESg5js2JFTQRJ"
"Nightvision","Daft Punk","Discovery","Discovery","Playlist","GBDUW0000061","63JXZZRbmzooashakb0zbu"
"Superheroes","Daft Punk","Discovery","Discovery","Playlist","GBDUW0000062","186hvCTyrni4KT9nwIQ7zS"
"High Life","Daft Punk","Discovery","Discovery","Playlist","GBDUW0000063","098ttCNmncrO4YvqWUNMvn"
"Something About Us","Daft Punk","Discovery","Discovery","Playlist","GBDUW0000064","1NeLwFETswx8Fzxl2AFl91"
"Voyager","Daft Punk","Discovery","Discovery","Playlist","GBDUW0000065","7cMFjxhbXBpOlais7KMF3j"
"Veridis Quo","Daft Punk","Discovery","Discovery","Playlist","GBDUW0000066","2LD2gT7gwAurzdQDQtILds"
"Short Circuit","Daft Punk","Discovery","Discovery","Playlist","GBDUW0000067","4npMbTuxrUA3Wd7edACZ2L"
"Face to Face","Daft Punk","Discovery","Discovery","Playlist","GBDUW0000068","7v9Q0dAb9t7h8gJOkcJHay"
"Too Long","Daft Punk","Discovery","Discovery","Playlist","GBDUW0000069","3zMvotMEQK3xvH01vA9wAP"
