Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Holidays in the Sun","Sex Pistols","Never Mind The Bollocks, Here's The Sex Pistols","Never Mind The Bollocks, Here's The Sex Pistols","Playlist","USWB10100903","2e4RcQohKWo8oZIUfjxiGo"
"Bodies","Sex Pistols","Never Mind The Bollocks, Here's The Sex Pistols","Never Mind The Bollocks, Here's The Sex Pistols","Playlist","USWB10100904","21MwEJ8tHezcPy77BaELJ6"
"No Feelings","Sex Pistols","Never Mind The Bollocks, Here's The Sex Pistols","Never Mind The Bollocks, Here's The Sex Pistols","Playlist","USWB10100905","4GtIKUB1Q5O65ofahYPRfX"
"Liar","Sex Pistols","Never Mind The Bollocks, Here's The Sex Pistols","Never Mind The Bollocks, Here's The Sex Pistols","Playlist","USWB10100906","2Hs7YqZwFEPIxRTnqtrHvP"
"Problems","Sex Pistols","Never Mind The Bollocks, Here's The Sex Pistols","Never Mind The Bollocks, Here's The Sex Pistols","Playlist","USWB10100907","4AqfCW0jMeByTMZdoqHlH4"
"God Save the Queen","Sex Pistols","Never Mind The Bollocks, Here's The Sex Pistols","Never Mind The Bollocks, Here's The Sex Pistols","Playlist","USWB17700045","6ui6l3ZNvlrGQZArwo8195"
"Seventeen","Sex Pistols","Never Mind The Bollocks, Here's The Sex Pistols","Never Mind The Bollocks, Here's The Sex Pistols","Playlist","USWB10100908","0PgpDLsbk8wnYpgMCynGLz"
"Anarchy in the U.K.","Sex Pistols","Never Mind The Bollocks, Here's The Sex Pistols","Never Mind The Bollocks, Here's The Sex Pistols","Playlist","USWB17700044","3LoDeIbiR12sAznmpNEmKA"
"Sub-Mission","Sex Pistols","Never Mind The Bollocks, Here's The Sex Pistols","Never Mind The Bollocks, Here's The Sex Pistols","Playlist","USWB10100909","6jjASY7DtqLdM0zJbAQcnX"
"Pretty Vacant","Sex Pistols","Never Mind The Bollocks, Here's The Sex Pistols","Never Mind The Bollocks, Here's The Sex Pistols","Playlist","USWB17700043","2mKj8Em0GLFu8I78yM1CfU"
"New York","Sex Pistols","Never Mind The Bollocks, Here's The Sex Pistols","Never Mind The Bollocks, Here's The Sex Pistols","Playlist","USWB10100910","1sRWDB2Db5mZVealHeNYJt"
"EMI","Sex Pistols","Never Mind The Bollocks, Here's The Sex Pistols","Never Mind The Bollocks, Here's The Sex Pistols","Playlist","USWB10100911","6FAF8l0j91yX6SwkQNhrm7"
