Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Loudmouth - 40th Anniversary Mono Mix","Ramones","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Playlist","USRH11601923","6bQG2UdMrrgBezrAejUD9y"
"Havana Affair - 40th Anniversary Mono Mix","Ramones","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Playlist","USRH11601924","6qWS5egulbj8R6s7hGTH7o"
"Listen to My Heart - 40th Anniversary Mono Mix","Ramones","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Playlist","USRH11601925","0txPPnwEAiizBH3mQK1enW"
"53rd & 3rd - 40th Anniversary Mono Mix","Ramones","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Playlist","USRH11601926","5R1TkRZpJIGdLjcl71ttlJ"
"Let's Dance - 40th Anniversary Mono Mix","Ramones","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Playlist","USRH11601927","3GUiiHHP7q8erikeS3akVE"
"I Don't Wanna Walk Around with You - 40th Anniversary Mono Mix","Ramones","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Playlist","USRH11601928","1fCRcL3uSYGTFWcggZPBXx"
"Today Your Love, Tomorrow the World - 40th Anniversary Mono Mix","Ramones","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Playlist","USRH11601929","0m5RKjczdG4TXSEaDEzVgF"
"Blitzkrieg Bop - Single Version","Ramones","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Playlist","USRH11601930","5eKIGC6kIEfKfzTzet3sOl"
"Blitzkrieg Bop - Mono","Ramones","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Playlist","USRH11601931","77qiWvNcRqhKKbQJ4IYwbx"
"I Wanna Be Your Boyfriend","Ramones","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Playlist","USRH11601932","6w6iRWyOd6A5PBVQcZaHN2"
"I Wanna Be Your Boyfriend - Original Mono; 2016 Remaster","Ramones","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Playlist","USRH11601933","4AIj2tN5dOXGtn00yGU3aM"
"Today Your Love, Tomorrow the World - Uncensored Vocals","Ramones","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Playlist","USRH11601934","1857Kpq27ZfnkYWPKdXa8Z"
"I Don't Care - Demo; 2016 Remaster","Ramones","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Playlist","USRH11601935","0vP2H8sIkQvZDbTIRWyuBv"
"53rd & 3rd - Demo","Ramones","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Playlist","USRH11601936","7sRa57ejO0sDMWWh3OKomp"
"Loudmouth - Demo","Ramones","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Playlist","USRH11601937","3W4nYdb9jbitTw3ui7LutK"
"Chain Saw - Demo","Ramones","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Playlist","USRH11601938","2kXvGsGXIPwtcjpaw72ErN"
"You Should Have Never Opened That Door - Demo; 2016 Remaster","Ramones","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Playlist","USRH11601939","0ANy7WBLYx1pkekrb1zwaz"
"I Wanna Be Your Boyfriend - Demo","Ramones","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Playlist","USRH11601940","36E8rMIBjdOwTeVIKxVr49"
"I Can't Be - Demo; 2016 Remaster","Ramones","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Playlist","USRH11601941","045TfGwMftk8Rk31l4EPPs"
"Today Your Love, Tomorrow the World - Demo","Ramones","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Playlist","USRH11601942","0QkhhaEtc5sAWd5XZQDmVX"
"I Don't Wanna Walk Around with You - Demo","Ramones","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Playlist","USRH11601943","0XHz5LWSKwXFSnoUo2xM8N"
"Now I Wanna Sniff Some Glue - Demo; 2016 Remaster","Ramones","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Playlist","USRH11601944","5deIYVCLgeNNDniXUo4O7b"
"I Don't Wanna Be Learned / I Don't Wanna Be Tamed - Demo; 2016 Remaster","Ramones","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Playlist","USRH11601945","1UAjHXyT5Wum6nSY8Qt1zI"
"You're Gonna Kill That Girl - Demo","Ramones","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Playlist","USRH11601946","700wTBOOQ8EMwwoZZnWlDc"
"What's Your Name - Demo; 2016 Remaster","Ramones","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Playlist","USRH11601947","5xdrBBGQ9xs2Mus91tj2w6"
"Loudmouth - Live at the Roxy, Hollywood, CA 8/12/76; Set 1; 2016 Remaster","Ramones","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Playlist","USRH11601948","7zwNiGXOzi4WdVusErUk7A"
"Beat on the Brat - Live at the Roxy, Hollywood, CA, 8/12/76; Set 1; 2016 Remaster","Ramones","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Playlist","USRH11601949","3i5HdkCyorDO7ZSdkD5MhL"
"Blitzkrieg Bop - Live at the Roxy, Hollywood, CA, 8/12/76; Set 1; 2016 Remaster","Ramones","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Playlist","USRH11601950","0h3LmXuHgfr0iy7HvMVus7"
"I Remember You - Live at the Roxy, Hollywood, CA 8/12/76; Set 1; 2016 Remaster","Ramones","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Playlist","USRH11601951","7C9KH6jYxZH5SJUWnJYLsr"
