Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"In A Sentimental Mood","Duke Ellington","Duke Ellington & John Coltrane","Duke Ellington & John Coltrane","Playlist","USMC16351954","0E8q2Fx2XuzXCO2NSAppkR"
"Take The Coltrane","Duke Ellington","Duke Ellington & John Coltrane","Duke Ellington & John Coltrane","Playlist","USMC16354646","6aNnVdpAQu8R0qGq5NMXyZ"
"Big Nick","Duke Ellington","Duke Ellington & John Coltrane","Duke Ellington & John Coltrane","Playlist","USMC16352614","5PGnB8aUHVm6tvYRHy4i30"
"Stevie","Duke Ellington","Duke Ellington & John Coltrane","Duke Ellington & John Coltrane","Playlist","USMC16352621","6Ylpg33fqhQfJrXLwSxnzh"
"My Little Brown Book","Duke Ellington","Duke Ellington & John Coltrane","Duke Ellington & John Coltrane","Playlist","USMC16352622","4rmCI9VWrwrJTJ8XQ80BMN"
"Angelica","Duke Ellington","Duke Ellington & John Coltrane","Duke Ellington & John Coltrane","Playlist","USGR10110259","2v23xmRCUxLWHRsrLkQWD2"
"The Feeling Of Jazz","Duke Ellington","Duke Ellington & John Coltrane","Duke Ellington & John Coltrane","Playlist","USMC16353797","6aQjtWVOYLhaatELyPBt12"
