Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Diran De Mi","Natanael Cano","Nata Montana","Nata Montana","Playlist","USWL12301038","57pe0wF0RgVPtcR4f1eXH2"
"Mas Altas Que Bajadas","Natanael Cano","Nata Montana","Nata Montana","Playlist","USWL12301031","4Zx0yrZwW4uNpd1FhIrOV5"
"La Lokerona","Natanael Cano","Nata Montana","Nata Montana","Playlist","USWL12301032","3A2UK3SykAxeo3jeQv9ekR"
"Un Convoy","Natanael Cano","Nata Montana","Nata Montana","Playlist","USWL12301036","0y6i1ZmaMj3jD6UxN0Aluu"
"Pancake","Natanael Cano","Nata Montana","Nata Montana","Playlist","USWL12301030","7ctRhcAiTBQLsH64s93sN4"
"Viejo Lobo","Natanael Cano","Nata Montana","Nata Montana","Playlist","USWL12301037","1UwCSHDl10Hga2jswZ6plN"
"AFS","Natanael Cano","Nata Montana","Nata Montana","Playlist","USWL12301035","7Fxb0ErkBj37nNQwmIhbRq"
"Eres","Natanael Cano","Nata Montana","Nata Montana","Playlist","USWL12301028","3FUVgc4ULS0t7X7sUBZ1UO"
"Mi Bello Angel","Natanael Cano","Nata Montana","Nata Montana","Playlist","USWL12301027","4t46soaqA758rbukTO5pp1"
"En Corto","Natanael Cano","Nata Montana","Nata Montana","Playlist","USWL12301098","6PlLiHoRcjCgK5som2T3ph"
"AMG","Natanael Cano","Nata Montana","Nata Montana","Playlist","QZ9QQ2200105","0FxtC8uFapbpDBliAU3sd6"
"Como Es Arriba Es Abajo","Natanael Cano","Nata Montana","Nata Montana","Playlist","QZ9QQ2300237","3KTExsIhHiqNHW9XBbTTZd"
"Pacas De Billetes","Natanael Cano","Nata Montana","Nata Montana","Playlist","QZ9QQ2300315","1EZk1gal98tb4lNI862KzO"
"Dando y Dando","Natanael Cano","Nata Montana","Nata Montana","Playlist","USWL12301034","1LftbNqQmQvAHAqnASk6ez"
"Ghini","Natanael Cano","Nata Montana","Nata Montana","Playlist","USWL12301033","1eieyd4BLzvNUuiU0PaNMQ"
