Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"If You Love Me","B.B. King","Deuces Wild","Deuces Wild","Playlist","USMC19756810","5Mbpbigq8HJTmRT8GXh5yh"
"The Thrill Is Gone","B.B. King","Deuces Wild","Deuces Wild","Playlist","USMC19756800","3cg0dJfrQB66Qf2YthPb6G"
"Rock Me Baby","B.B. King","Deuces Wild","Deuces Wild","Playlist","USMC19756819","1bursm5ZnNHQS55a23h7kR"
"Please Send Me Someone To Love","B.B. King","Deuces Wild","Deuces Wild","Playlist","USMC19756809","1NRZsuvO69KzsPfUx3ZNo9"
"Baby I Love You","B.B. King","Deuces Wild","Deuces Wild","Playlist","USMC19756813","1jJNeiTnmoVqHhawN9tXfE"
"Ain't Nobody Home","B.B. King","Deuces Wild","Deuces Wild","Playlist","USMC19756815","3hCIZ8sgJm5MUh7ulehPGX"
"Pauly's Birthday Boogie","B.B. King","Deuces Wild","Deuces Wild","Playlist","USMC19756811","088NmJPi9Tnn6BKn6xyo9r"
"There Must Be A Better World Somewhere","B.B. King","Deuces Wild","Deuces Wild","Playlist","USMC19756805","304N4ZiAMqSG9nQnK11Imo"
"Confessin' The Blues","B.B. King","Deuces Wild","Deuces Wild","Playlist","USMC19756801","0WACpt7DOyPkEWxhGZJoHa"
"Hummingbird","B.B. King","Deuces Wild","Deuces Wild","Playlist","USMC19756804","6WCakkuE0gRI084FGLQWTf"
"Bring It On Home To Me","B.B. King","Deuces Wild","Deuces Wild","Playlist","USMC19756812","4Vfgc4BdSKM2hRlkaRFc9C"
"Paying The Cost To Be The Boss","B.B. King","Deuces Wild","Deuces Wild","Playlist","USMC19756807","1HK0gVdcEwTUaJzCTNhjA3"
"Let The Good Times Roll","B.B. King","Deuces Wild","Deuces Wild","Playlist","USMC10400427","3hSHP4j0T68yFfK6ECwwtj"
"Dangerous Mood","B.B. King","Deuces Wild","Deuces Wild","Playlist","USMC19756806","07CD2U2IwY5Zr1QcHYaoRF"
"Keep It Coming","B.B. King","Deuces Wild","Deuces Wild","Playlist","USMC19756814","4Q2Tcn2C49aqrdYFH14FRo"
"Cryin' Won't Help You Babe","B.B. King","Deuces Wild","Deuces Wild","Playlist","USMC19756808","2WT0cGzZPcfQfwRw4Hgbve"
"Night Life","B.B. King","Deuces Wild","Deuces Wild","Playlist","USMC19756802","25Ge0TmoFnCYXS6zjeGlXL"
