Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Black Dog - Remaster","Led Zeppelin","Led Zeppelin IV (Deluxe Edition)","Led Zeppelin IV (Deluxe Edition)","Playlist","USAT21300956","3qT4bUD1MaWpGrTwcvguhb"
"Rock and Roll - Remaster","Led Zeppelin","Led Zeppelin IV (Deluxe Edition)","Led Zeppelin IV (Deluxe Edition)","Playlist","USAT21300957","4PRGxHpCpF2yoOHYKQIEwD"
"The Battle of Evermore - Remaster","Led Zeppelin","Led Zeppelin IV (Deluxe Edition)","Led Zeppelin IV (Deluxe Edition)","Playlist","USAT21300958","6MSoJM9UIFHozmBCduQRje"
"Stairway to Heaven - Remaster","Led Zeppelin","Led Zeppelin IV (Deluxe Edition)","Led Zeppelin IV (Deluxe Edition)","Playlist","USAT21300959","5CQ30WqJwcep0pYcV4AMNc"
"Misty Mountain Hop - Remaster","Led Zeppelin","Led Zeppelin IV (Deluxe Edition)","Led Zeppelin IV (Deluxe Edition)","Playlist","USAT21300960","5NnZ4JJxWiqqhYNu3rwmFj"
"Four Sticks - Remaster","Led Zeppelin","Led Zeppelin IV (Deluxe Edition)","Led Zeppelin IV (Deluxe Edition)","Playlist","USAT21300961","4Sc5qEOSFI5rfS9IDyu0GO"
"Going to California - Remaster","Led Zeppelin","Led Zeppelin IV (Deluxe Edition)","Led Zeppelin IV (Deluxe Edition)","Playlist","USAT21300962","70gbuMqwNBE2Y5rkQJE9By"
"When the Levee Breaks - Remaster","Led Zeppelin","Led Zeppelin IV (Deluxe Edition)","Led Zeppelin IV (Deluxe Edition)","Playlist","USAT21300963","05f8Hg3RSfiPSCBQOtxl3i"
"Black Dog - Basic Track with Guitar Overdubs","Led Zeppelin","Led Zeppelin IV (Deluxe Edition)","Led Zeppelin IV (Deluxe Edition)","Playlist","USAT21402410","59Zl5fFDhkGhFv0TGeyqbv"
"Rock and Roll - Alternate Mix","Led Zeppelin","Led Zeppelin IV (Deluxe Edition)","Led Zeppelin IV (Deluxe Edition)","Playlist","USAT21402411","35a7EjRYYLLyH4prB1zExl"
"The Battle of Evermore - Mandolin / Guitar Mix from Headley Grange","Led Zeppelin","Led Zeppelin IV (Deluxe Edition)","Led Zeppelin IV (Deluxe Edition)","Playlist","USAT21402412","3gyroWpKKzkVkOhLJ57Tv5"
"Stairway to Heaven - Sunset Sound Mix","Led Zeppelin","Led Zeppelin IV (Deluxe Edition)","Led Zeppelin IV (Deluxe Edition)","Playlist","USAT21402413","7llNWna9CEKr88Ng4vAwiI"
"Misty Mountain Hop - Alternate Mix","Led Zeppelin","Led Zeppelin IV (Deluxe Edition)","Led Zeppelin IV (Deluxe Edition)","Playlist","USAT21402414","05BTaDBhGylMDjupCczCwC"
"Four Sticks - Alternate Mix","Led Zeppelin","Led Zeppelin IV (Deluxe Edition)","Led Zeppelin IV (Deluxe Edition)","Playlist","USAT21402415","4Y4xWuvM7MKGKxECXfnKtV"
"Going to California - Mandolin / Guitar Mix","Led Zeppelin","Led Zeppelin IV (Deluxe Edition)","Led Zeppelin IV (Deluxe Edition)","Playlist","USAT21402416","7s2HYAN8PSba9OGqgTL7mo"
"When the Levee Breaks - Alternate UK Mix in Progress","Led Zeppelin","Led Zeppelin IV (Deluxe Edition)","Led Zeppelin IV (Deluxe Edition)","Playlist","USAT21402417","1zLAyTaKUdiZSmOifuu2kv"
