Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"The Robots - 2009 Remaster","Kraftwerk","The Man-Machine (2009 Remaster)","The Man-Machine (2009 Remaster)","Playlist","USCA20903079","5eqZWYQ5tbIehx00NeKXz7"
"Spacelab - 2009 Remaster","Kraftwerk","The Man-Machine (2009 Remaster)","The Man-Machine (2009 Remaster)","Playlist","DEC610900215","48Q7pVDuBivnR5rdf6RGYT"
"Metropolis - 2009 Remaster","Kraftwerk","The Man-Machine (2009 Remaster)","The Man-Machine (2009 Remaster)","Playlist","DEC610900216","24G3gIRBrI94XfUyjc0pxI"
"The Model - 2009 Remaster","Kraftwerk","The Man-Machine (2009 Remaster)","The Man-Machine (2009 Remaster)","Playlist","USCA20903078","1FL9DHDSED6lxNMDJUJQvB"
"Neon Lights - 2009 Remaster","Kraftwerk","The Man-Machine (2009 Remaster)","The Man-Machine (2009 Remaster)","Playlist","USCA20903076","1krBKWusytTAT2jNWJGA7m"
"The Man Machine - 2009 Remaster","Kraftwerk","The Man-Machine (2009 Remaster)","The Man-Machine (2009 Remaster)","Playlist","USCA20903077","4rbt9xJMIYwjTyMUYSvEL2"
