Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Hello Out There","Johnny Cash","Songwriter","Songwriter","Playlist","USUM72403298","0x1u8snNiyKqfmYmyQg3Kr"
"Spotlight","Johnny Cash","Songwriter","Songwriter","Playlist","USUM72403300","6Nem4lLUMFfJciok5yzbSW"
"Drive On","Johnny Cash","Songwriter","Songwriter","Playlist","USUM72403301","6tJ3szB8tOab0sGCPNRgaL"
"I Love You Tonite","Johnny Cash","Songwriter","Songwriter","Playlist","USUM72403302","1PXOXSHIkcVtvMuHbOefH3"
"Have You Ever Been To Little Rock?","Johnny Cash","Songwriter","Songwriter","Playlist","USUM72403303","6GdNvs9ioFDDmUIWDvr0MB"
"Well Alright","Johnny Cash","Songwriter","Songwriter","Playlist","USUM72403304","1AwcKKubFUGmgL0t1EOVuM"
"She Sang Sweet Baby James","Johnny Cash","Songwriter","Songwriter","Playlist","USUM72403306","7bbpbZf2YIed9bLGUm0xlK"
"Poor Valley Girl","Johnny Cash","Songwriter","Songwriter","Playlist","USUM72403307","3ndyzKlzcVtah4TZLBgbJW"
"Soldier Boy","Johnny Cash","Songwriter","Songwriter","Playlist","USUM72403308","1DPkkzoIJMsjWJVCAz8Lbh"
"Sing It Pretty Sue","Johnny Cash","Songwriter","Songwriter","Playlist","USUM72403309","5U1h2k1ZAW9BSOsvUu9ZMS"
"Like A Soldier","Johnny Cash","Songwriter","Songwriter","Playlist","USUM72403310","11kinez6Y3AFKe3VZ3inhm"
