Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Gypsy Woman","Muddy Waters","The Chess Box","The Chess Box","Playlist","USMC14707058","1An3BFGVlvjA9swJqKyYmO"
"Good Lookin' Woman","Muddy Waters","The Chess Box","The Chess Box","Playlist","USMC14807108","5WSZueSyrcL8u8KNFQalFV"
"Mean Disposition","Muddy Waters","The Chess Box","The Chess Box","Playlist","USMC14807109","4Krb6b3rRFUgXPeaR2Shzd"
"I Can't Be Satisfied","Muddy Waters","The Chess Box","The Chess Box","Playlist","USMC14848779","7FDFtgdyzlBN0tUo3boGZe"
"I Feel Like Going Home","Muddy Waters","The Chess Box","The Chess Box","Playlist","USMC14852038","5vGGeS8N3fNCQLzojfP3Qu"
"Train Fare Home","Muddy Waters","The Chess Box","The Chess Box","Playlist","USMC14807131","2eE4wZkwC0qNUVK304lLqE"
"Mean Red Spider","Muddy Waters","The Chess Box","The Chess Box","Playlist","USMC14807149","6iukeqLbu4VAniiFbKQ6My"
"Streamline Woman","Muddy Waters","The Chess Box","The Chess Box","Playlist","USMC14807151","7JUQuT2Ahzz8XQ9LBggIlU"
"Little Geneva","Muddy Waters","The Chess Box","The Chess Box","Playlist","USMC14907199","3jYPIc8e5rHViiCIaxhuZ7"
"Rollin' And Tumblin' - Pt. 1","Muddy Waters","The Chess Box","The Chess Box","Playlist","USMC15052040","2cuQpyFqY6EJt4zsN9adjD"
"Rollin' Stone","Muddy Waters","The Chess Box","The Chess Box","Playlist","USMC15046850","61K6lqGyrl2Aerk0LjAZem"
"Walkin' Blues","Muddy Waters","The Chess Box","The Chess Box","Playlist","USMC15007238","4mUq7vs2iD67VU1kXHqFhE"
"Louisiana Blues","Muddy Waters","The Chess Box","The Chess Box","Playlist","USMC15007275","2nbV8brWogyKVqRhypvzJS"
"Evans' Shuffle","Muddy Waters","The Chess Box","The Chess Box","Playlist","USMC15007276","0qjSYugTXUitQdXfd0V6te"
"Long Distance Call","Muddy Waters","The Chess Box","The Chess Box","Playlist","USMC15148783","21SJZoN35oJCD2MS6PRgvd"
"Honey Bee","Muddy Waters","The Chess Box","The Chess Box","Playlist","USMC15152042","1auH2An5Up4iMVt2PanNQ2"
"She Moves Me","Muddy Waters","The Chess Box","The Chess Box","Playlist","USMC15152043","4rWR4XNM2xKrIVYFZcZU0I"
"Still A Fool","Muddy Waters","The Chess Box","The Chess Box","Playlist","USMC15151715","1IS6IcuoQpQSZIGdKoUsPJ"
"Stuff You Gotta Watch","Muddy Waters","The Chess Box","The Chess Box","Playlist","USMC15107415","6OiejlLlEgGSBFlJz10ib2"
"Standing Around Crying","Muddy Waters","The Chess Box","The Chess Box","Playlist","USMC15252044","7swlOBbQqgxgIayoV1Gxzt"
"Flood","Muddy Waters","The Chess Box","The Chess Box","Playlist","USMC15204332","2eFxohNk4Ez7ybsNR03Wmd"
"Baby, Please Don't Go","Muddy Waters","The Chess Box","The Chess Box","Playlist","USMC15352045","2Sp9gTkSM7RAThVBo2XXNL"
"Blow Wind Blow","Muddy Waters","The Chess Box","The Chess Box","Playlist","USMC15307551","06rRqC9plPGW7eApajEF9T"
"(I'm Your) Hoochie Coochie Man","Muddy Waters","The Chess Box","The Chess Box","Playlist","USMC15446127","1YM0WEEhit7WL15fkLkwMI"
"I Just Want To Make Love To You","Muddy Waters","The Chess Box","The Chess Box","Playlist","USMC15450732","7p0Z65UH4mYSkyE6M6BSEg"
"I'm Ready","Muddy Waters","The Chess Box","The Chess Box","Playlist","USMC15452047","6MK4Omudz4gPzLCgvTXOXs"
"Smokestack Lightnin'","Muddy Waters","The Chess Box","The Chess Box","Playlist","USMC15407698","0vq2bQOeTqeq0EHnKf7bW5"
"Young Fashioned Ways","Muddy Waters","The Chess Box","The Chess Box","Playlist","USMC15552048","11ne5fiCfAmqxqRCUuPO0o"
"Mannish Boy","Muddy Waters","The Chess Box","The Chess Box","Playlist","USMC15546488","1FMZah4Ge4Mh9Dok1HSQ8Z"
"Trouble No More","Muddy Waters","The Chess Box","The Chess Box","Playlist","USMC15552050","3wFXuJfiiQYZquZmNnH3m6"
"Forty Days And Forty Nights","Muddy Waters","The Chess Box","The Chess Box","Playlist","USMC15646489","0M4omtVOn9Yq2T8ZhzIaJa"
"Just To Be With You","Muddy Waters","The Chess Box","The Chess Box","Playlist","USMC15608147","1UjWm93rtUAMMh0IF8hR0V"
"Don't Go No Farther","Muddy Waters","The Chess Box","The Chess Box","Playlist","USMC15608148","1h9NVxUkc5uKtDgiVBmVPe"
"Diamonds At Your Feet","Muddy Waters","The Chess Box","The Chess Box","Playlist","USMC15608149","5FZLGBcBRqk9hmHEHNAIhl"
"I Love The Life I Live (I Live The Life I Love)","Muddy Waters","The Chess Box","The Chess Box","Playlist","USMC15608388","2aZ8nrq3RIXEXUviAwzyLV"
"Rock Me","Muddy Waters","The Chess Box","The Chess Box","Playlist","USMC15649428","6gyqTl2VM4eL4chXOXjuAw"
"Look What You've Done","Muddy Waters","The Chess Box","The Chess Box","Playlist","USMC15608392","4xCVCJxlkvwRfZWY3FU2P4"
"Got My Mojo Working","Muddy Waters","The Chess Box","The Chess Box","Playlist","USMC15608393","18n0zch7bRo453Iwq98xYf"
"Good News","Muddy Waters","The Chess Box","The Chess Box","Playlist","USMC15708510","6VdfK4s1yrTuxrR6EwW0JK"
"Evil","Muddy Waters","The Chess Box","The Chess Box","Playlist","USMC15708511","6FM969QBjZnd7CvwB560ZI"
"She's Nineteen Years Old","Muddy Waters","The Chess Box","The Chess Box","Playlist","USMC15801219","30A9AnKtDJVZY1tzRauhSx"
"Close To You","Muddy Waters","The Chess Box","The Chess Box","Playlist","USMC15846493","7bxvSVLeUMtCEi3BdscXUw"
"Walkin' Thru The Park","Muddy Waters","The Chess Box","The Chess Box","Playlist","USMC15846046","3E66ET5KVF2Mf9h1Zq00gI"
"Blues Before Sunrise","Muddy Waters","The Chess Box","The Chess Box","Playlist","USMC15909193","3dYRCBrEkWBRF6E2q35a0Z"
"Lonesome Road Blues","Muddy Waters","The Chess Box","The Chess Box","Playlist","USMC15946487","3W3YaTikENX5yLQSTLd8YK"
"Take The Bitter With The Sweet","Muddy Waters","The Chess Box","The Chess Box","Playlist","USMC10200981","7le1lbqayZxZzzRKsNpmtY"
"She's Into Something","Muddy Waters","The Chess Box","The Chess Box","Playlist","USMC15949029","2Y6GJOuu3MKsujcFY0w4ay"
"Southbound Train","Muddy Waters","The Chess Box","The Chess Box","Playlist","USMC15909506","3BATm6p5cvyXTHNTYb7JMr"
"Double Trouble","Muddy Waters","The Chess Box","The Chess Box","Playlist","USMC10400654","6kGMgfUEA2RF18i05EMvUt"
"I Feel So Good - Live At Newport Jazz Festival/1960","Muddy Waters","The Chess Box","The Chess Box","Playlist","USMC16048743","6aQE54IwFU2TgzEsbkZNVf"
